 Port Louis
Order Reference;Order Period;Supplier Name;Order Total Amount;Order Status;Invoice Reference;Invoice Total Amount;Action
13;2023-08;Mottoway Corp.;           0.00;Received;INV_PO013.1;   1,302,000.00;No Action
13;2023-08;Mottoway Corp.;   5,819,625.00;Closed;N/A;           0.00;No Action
13;2023-08;Mottoway Corp.;           0.00;Received;INV_PO013.1;   1,091,125.00;No Action
13;2023-08;Mottoway Corp.;           0.00;Received;INV_PO013.1;   1,452,500.00;No Action
13;2023-08;Mottoway Corp.;           0.00;Received;INV_PO013.1;   1,974,000.00;No Action
8;2023-06;Jinfix Computers;           0.00;Received;INV_PO008.2;       6,950.00;No Action
8;2023-06;Jinfix Computers;           0.00;Received;INV_PO008.2;      23,000.00;No Action
8;2023-06;Jinfix Computers;           0.00;Received;INV_PO008.2;      15,000.00;No Action
8;2023-06;Jinfix Computers;           0.00;Received;INV_PO008.1;      15,250.00;No Action
8;2023-06;Jinfix Computers;      85,200.00;Open;N/A;           0.00;No Action
8;2023-06;Jinfix Computers;           0.00;Received;INV_PO008.1;      25,000.00;No Action
2;2023-01;Mottoway Corp.;           0.00;Received;INV_PO002.3;     249,000.00;To follow up
2;2023-01;Mottoway Corp.;           0.00;Received;INV_PO002.1;     100,000.00;No Action
2;2023-01;Mottoway Corp.;     750,000.00;Open;N/A;           0.00;No Action
2;2023-01;Mottoway Corp.;           0.00;Received;INV_PO002.2;     300,000.00;No Action
 Savanne
Order Reference;Order Period;Supplier Name;Order Total Amount;Order Status;Invoice Reference;Invoice Total Amount;Action
10;2023-07;Foxy Electronics;     182,700.00;Closed;N/A;           0.00;No Action
10;2023-07;Foxy Electronics;           0.00;Received;INV_PO010.1;      17,500.00;No Action
10;2023-07;Foxy Electronics;           0.00;Received;INV_PO010.1;      21,000.00;No Action
10;2023-07;Foxy Electronics;           0.00;Received;INV_PO010.1;      18,200.00;No Action
10;2023-07;Foxy Electronics;           0.00;Received;INV_PO010.1;      28,000.00;No Action
10;2023-07;Foxy Electronics;           0.00;Received;INV_PO010.1;      98,000.00;No Action
 Curepipe
Order Reference;Order Period;Supplier Name;Order Total Amount;Order Status;Invoice Reference;Invoice Total Amount;Action
12;2023-08;Pegasus Ltd;           0.00;Received;INV_PO012.2;      40,000.00;No Action
12;2023-08;Pegasus Ltd;           0.00;Received;INV_PO012.3;      43,750.00;No Action
12;2023-08;Pegasus Ltd;           0.00;Received;INV_PO012.2;      55,870.00;No Action
12;2023-08;Pegasus Ltd;           0.00;Received;INV_PO012.1;       7,250.00;No Action
12;2023-08;Pegasus Ltd;           0.00;Received;INV_PO012.3;      28,000.00;No Action
12;2023-08;Pegasus Ltd;           0.00;Received;INV_PO012.1;      37,800.00;No Action
12;2023-08;Pegasus Ltd;           0.00;Received;INV_PO012.2;      12,500.00;No Action
12;2023-08;Pegasus Ltd;     265,000.00;Open;N/A;           0.00;No Action
12;2023-08;Pegasus Ltd;           0.00;Received;INV_PO012.3;      12,600.00;No Action
